index,Sepal.Width*10,Petal.Length,other,Petal.Width,random
1479,497.8,1308.7,93,1327,8.12
1480,498.8,1309.7,94,1328,6.74
1481,499.8,1310.7,95,1329,6.93
1482,500.8,1311.7,96,1330,5.28
1483,501.8,1312.7,97,1331,5.1
1484,502.8,1313.7,98,1332,5.34
1485,503.8,1314.7,99,1333,5.61
1486,504.8,1315.7,100,1334,6.69
1487,505.8,1316.7,101,1335,8.55
1488,506.8,1317.7,102,1336,6.22
1489,507.8,1318.7,103,1337,6.06
1490,508.8,1319.7,104,1338,6.39
1491,509.8,1320.7,105,1339,9.47
1492,510.8,1321.7,106,1340,8.51
1493,511.8,1322.7,107,1341,7.63
1494,512.8,1323.7,108,1342,5.52
1495,513.8,1324.7,109,1343,8.08
1496,514.8,1325.7,110,1344,8.05
1497,515.8,1326.7,111,1345,6.16
1498,516.8,1327.7,112,1346,5.69
1499,517.8,1328.7,113,1347,8.43
1500,518.8,1329.7,114,1348,5.65
1501,519.8,1330.7,115,1349,7.4
1502,520.8,1331.7,116,1350,6.23
1503,521.8,1332.7,117,1351,6.48
1504,522.8,1333.7,118,1352,5.18
1505,523.8,1334.7,119,1353,8.41
1506,524.8,1335.7,120,1354,8.64
1507,525.8,1336.7,26,1355,9.05
1508,526.8,1337.7,27,1356,8.65
1509,527.8,1338.7,28,1357,8.01
1510,528.8,1339.7,29,1358,8.77
1511,529.8,1340.7,30,1359,8.01
1512,530.8,1341.7,31,1360,8.83
1513,531.8,1342.7,32,1361,9.63
1514,532.8,1343.7,33,1362,5.55
1515,533.8,1344.7,34,1363,7.18
1516,534.8,1345.7,35,1364,6.69
1517,535.8,1346.7,36,1365,7.35
1518,536.8,1347.7,37,1366,7.13
1519,537.8,1348.7,38,1367,7.98
1520,538.8,1349.7,39,1368,9.06
1521,539.8,1350.7,40,1369,5.26
1522,540.8,1351.7,41,1370,6.13
1523,541.8,1352.7,42,1371,7.91
1524,542.8,1353.7,43,1372,5.41
1525,543.8,1354.7,44,1373,7.23
1526,544.8,1355.7,45,1374,5.19
1527,545.8,1356.7,46,1375,7.31
1528,546.8,1357.7,47,1376,7
1529,547.8,1358.7,48,1377,7.44
1530,548.8,1359.7,49,1378,8.15
1531,549.8,1360.7,50,1379,8.58
1532,550.8,1361.7,51,1380,9.19
1533,551.8,1362.7,52,1381,5.67
1534,552.8,1363.7,53,1382,8.62
1535,553.8,1364.7,54,1383,9.25
1536,554.8,1365.7,55,1384,6.18
1537,555.8,1366.7,56,1385,7.01
1538,556.8,1367.7,57,1386,8.11
1539,557.8,1368.7,58,1387,5.32
1540,558.8,1369.7,59,1388,5.43
1541,559.8,1370.7,60,1389,5.12
1542,560.8,1371.7,61,1390,5.55
1543,561.8,1372.7,62,1391,7.13
1544,562.8,1373.7,63,1392,8.87
1545,563.8,1374.7,64,1393,6.29
1546,564.8,1375.7,65,1394,8.88
1547,565.8,1376.7,66,1395,9.9
1548,566.8,1377.7,67,1396,7.97
1549,567.8,1378.7,68,1397,7.4
1550,568.8,1379.7,69,1398,9.06
1551,569.8,1380.7,70,1399,8.31
1552,570.8,1381.7,71,1400,8.76
1553,571.8,1382.7,72,1401,5.24
1554,572.8,1383.7,73,1402,6.48
1555,573.8,1384.7,74,1403,6.67
1556,574.8,1385.7,75,1404,8.86
1557,575.8,1386.7,76,1405,5.83
1558,576.8,1387.7,77,1406,6.43
1559,577.8,1388.7,78,1407,9.05
1560,578.8,1389.7,79,1408,7.33
1561,579.8,1390.7,80,1409,9.1
1562,580.8,1391.7,81,1410,9.46
1563,581.8,1392.7,82,1411,5.46
1564,582.8,1393.7,83,1412,9.85
1565,583.8,1394.7,84,1413,7.06
1566,584.8,1395.7,85,1414,5.34
1567,585.8,1396.7,86,1415,5.16
1568,586.8,1397.7,87,1416,7.24
1569,587.8,1398.7,88,1417,9.45
1570,588.8,1399.7,89,1418,6.28
1571,589.8,1400.7,90,1419,8.37
1572,590.8,1401.7,91,1420,9.21
1573,591.8,1402.7,92,1421,7.72
1574,592.8,1403.7,93,1422,6.65
1575,593.8,1404.7,94,1423,9.65
1576,594.8,1405.7,95,1424,8.1
1577,595.8,1406.7,96,1425,7.29
1578,596.8,1407.7,97,1426,8.73
1579,597.8,1408.7,98,1427,5.51
1580,598.8,1409.7,99,1428,7.04
1581,599.8,1410.7,100,1429,7.57
1582,600.8,1411.7,101,1430,6.69
1583,601.8,1412.7,102,1431,7.77
1584,602.8,1413.7,103,1432,8.07
1585,603.8,1414.7,104,1433,8.44
1586,604.8,1415.7,105,1434,9.25
1587,605.8,1416.7,106,1435,7
1588,606.8,1417.7,107,1436,8.47
1589,607.8,1418.7,108,1437,8.97
1590,608.8,1419.7,109,1438,6.63
1591,609.8,1420.7,110,1439,9.88
1592,610.8,1421.7,111,1440,6.6
1593,611.8,1422.7,112,1441,8.93
1594,612.8,1423.7,113,1442,6.74
1595,613.8,1424.7,114,1443,9.76
1596,614.8,1425.7,115,1444,7.95
1597,615.8,1426.7,116,1445,7.23
1598,616.8,1427.7,117,1446,7.73
1599,617.8,1428.7,118,1447,7
1600,618.8,1429.7,119,1448,6.86
1601,619.8,1430.7,120,1449,6.43
1602,620.8,1431.7,26,1450,8.55
1603,621.8,1432.7,27,1451,6.9
1604,622.8,1433.7,28,1452,9
1605,623.8,1434.7,29,1453,5.68
1606,624.8,1435.7,30,1454,5.53
1607,625.8,1436.7,31,1455,5.8
1608,626.8,1437.7,32,1456,8.28
1609,627.8,1438.7,33,1457,9.13
1610,628.8,1439.7,34,1458,6.55
1611,629.8,1440.7,35,1459,9.51
1612,630.8,1441.7,36,1460,8
1613,631.8,1442.7,37,1461,9.34
1614,632.8,1443.7,38,1462,8.17
1615,633.8,1444.7,39,1463,8.4
1616,634.8,1445.7,40,1464,7.42
1617,635.8,1446.7,41,1465,5.67
1618,636.8,1447.7,42,1466,9.14
1619,637.8,1448.7,43,1467,9.43
1620,638.8,1449.7,44,1468,8.59
1621,639.8,1450.7,45,1469,6.84
1622,640.8,1451.7,46,1470,9.48
1623,641.8,1452.7,47,1471,5.45
1624,642.8,1453.7,48,1472,8.84
1625,643.8,1454.7,49,1473,8.98
1626,644.8,1455.7,50,1474,8.24
1627,645.8,1456.7,51,1475,9.59
1628,646.8,1457.7,52,1476,9.74
1629,647.8,1458.7,53,1477,6.04
1630,648.8,1459.7,54,1478,9.4
1631,649.8,1460.7,55,1479,6.41
1632,650.8,1461.7,56,1480,9.14
1633,651.8,1462.7,57,1481,5.9
1634,652.8,1463.7,58,1482,6.19
1635,653.8,1464.7,59,1483,6.43
1636,654.8,1465.7,60,1484,9.7
1637,655.8,1466.7,61,1485,6.54
1638,656.8,1467.7,62,1486,8.19
1639,657.8,1468.7,63,1487,9.58
1640,658.8,1469.7,64,1488,8.37
1641,659.8,1470.7,65,1489,6.07
1642,660.8,1471.7,66,1490,9.84
1643,661.8,1472.7,67,1491,6.73
1644,662.8,1473.7,68,1492,6.6
1645,663.8,1474.7,69,1493,5.34
1646,664.8,1475.7,70,1494,9.14
1647,665.8,1476.7,71,1495,6.99
1648,666.8,1477.7,72,1496,8.92
1649,667.8,1478.7,73,1497,7.54
1650,668.8,1479.7,74,1498,7.93
1651,669.8,1480.7,75,1499,6.77
1652,670.8,1481.7,76,1500,8.85
1653,671.8,1482.7,77,1501,5.26
1654,672.8,1483.7,78,1502,5.49
1655,673.8,1484.7,79,1503,8.68
1656,674.8,1485.7,80,1504,5.99
1657,675.8,1486.7,81,1505,6.91
1658,676.8,1487.7,82,1506,8.33
1659,677.8,1488.7,83,1507,7.12
1660,678.8,1489.7,84,1508,8.48
1661,679.8,1490.7,85,1509,5.46
1662,680.8,1491.7,86,1510,8.5
1663,681.8,1492.7,87,1511,6.14
1664,682.8,1493.7,88,1512,5.35
1665,683.8,1494.7,89,1513,6.71
1666,684.8,1495.7,90,1514,7.25
1667,685.8,1496.7,91,1515,9.61
1668,686.8,1497.7,92,1516,5.29
1669,687.8,1498.7,93,1517,9.23
1670,688.8,1499.7,94,1518,9.49
1671,689.8,1500.7,95,1519,6.37
1672,690.8,1501.7,96,1520,7.62
1673,691.8,1502.7,97,1521,7.2
1674,692.8,1503.7,98,1522,9.33
1675,693.8,1504.7,99,1523,7.69
1676,694.8,1505.7,100,1524,7.97
1677,695.8,1506.7,101,1525,5.62
1678,696.8,1507.7,102,1526,9.28
1679,697.8,1508.7,103,1527,6.08
1680,698.8,1509.7,104,1528,6.65
1681,699.8,1510.7,105,1529,8.74
1682,700.8,1511.7,106,1530,5.31
1683,701.8,1512.7,107,1531,6.97
1684,702.8,1513.7,108,1532,9.07
1685,703.8,1514.7,109,1533,7.37
1686,704.8,1515.7,110,1534,8.93
1687,705.8,1516.7,111,1535,9.23
1688,706.8,1517.7,112,1536,5.85
1689,707.8,1518.7,113,1537,7.33
1690,708.8,1519.7,114,1538,6.66
1691,709.8,1520.7,115,1539,6.99
1692,710.8,1521.7,116,1540,6.01
1693,711.8,1522.7,117,1541,8.96
1694,712.8,1523.7,118,1542,7.71
1695,713.8,1524.7,119,1543,9.13
1696,714.8,1525.7,120,1544,9.72
1697,715.8,1526.7,26,1545,8.75
1698,716.8,1527.7,27,1546,9.49
1699,717.8,1528.7,28,1547,9.04
1700,718.8,1529.7,29,1548,8.1
1701,719.8,1530.7,30,1549,6.34
1702,720.8,1531.7,31,1550,7.75
1703,721.8,1532.7,32,1551,6.7
1704,722.8,1533.7,33,1552,8.92
1705,723.8,1534.7,34,1553,9.18
1706,724.8,1535.7,35,1554,8.28
1707,725.8,1536.7,36,1555,8.1
1708,726.8,1537.7,37,1556,5.83
1709,727.8,1538.7,38,1557,7.82
1710,728.8,1539.7,39,1558,5.35
1711,729.8,1540.7,40,1559,7.7
1712,730.8,1541.7,41,1560,6.61
1713,731.8,1542.7,42,1561,7.07
1714,732.8,1543.7,43,1562,8.49
1715,733.8,1544.7,44,1563,5.63
1716,734.8,1545.7,45,1564,8.6
1717,735.8,1546.7,46,1565,5.95
1718,736.8,1547.7,47,1566,9.13
1719,737.8,1548.7,48,1567,7.57
1720,738.8,1549.7,49,1568,6.27
1721,739.8,1550.7,50,1569,9.44
1722,740.8,1551.7,51,1570,7.18
1723,741.8,1552.7,52,1571,8.23
1724,742.8,1553.7,53,1572,7.2
1725,743.8,1554.7,54,1573,9.85
1726,744.8,1555.7,55,1574,9.29
1727,745.8,1556.7,56,1575,9.15
1728,746.8,1557.7,57,1576,6.34
1729,747.8,1558.7,58,1577,5.8
1730,748.8,1559.7,59,1578,8.64
1731,749.8,1560.7,60,1579,7.64
1732,750.8,1561.7,61,1580,8.29
1733,751.8,1562.7,62,1581,5.9
1734,752.8,1563.7,63,1582,9.55
1735,753.8,1564.7,64,1583,8.53
1736,754.8,1565.7,65,1584,8.21
1737,755.8,1566.7,66,1585,9.15
1738,756.8,1567.7,67,1586,7.64
1739,757.8,1568.7,68,1587,8.67
1740,758.8,1569.7,69,1588,5.96
1741,759.8,1570.7,70,1589,7.02
1742,760.8,1571.7,71,1590,7.47
1743,761.8,1572.7,72,1591,8.51
1744,762.8,1573.7,73,1592,5.22
1745,763.8,1574.7,74,1593,7.41
1746,764.8,1575.7,75,1594,9.81
1747,765.8,1576.7,76,1595,7.47
1748,766.8,1577.7,77,1596,7.76
1749,767.8,1578.7,78,1597,9.8
1750,768.8,1579.7,79,1598,9.29
1751,769.8,1580.7,80,1599,6.31
1752,770.8,1581.7,81,1600,9.19
1753,771.8,1582.7,82,1601,7.12
1754,772.8,1583.7,83,1602,8.37
1755,773.8,1584.7,84,1603,6.3
1756,774.8,1585.7,85,1604,7.37
1757,775.8,1586.7,86,1605,9.31
1758,776.8,1587.7,87,1606,8.78
1759,777.8,1588.7,88,1607,5.18
1760,778.8,1589.7,89,1608,5.62
1761,779.8,1590.7,90,1609,5.26
1762,780.8,1591.7,91,1610,7.17
1763,781.8,1592.7,92,1611,5.65
1764,782.8,1593.7,93,1612,7.65
1765,783.8,1594.7,94,1613,6.05
1766,784.8,1595.7,95,1614,7.08
1767,785.8,1596.7,96,1615,5.27
1768,786.8,1597.7,97,1616,8.63
1769,787.8,1598.7,98,1617,5.98
1770,788.8,1599.7,99,1618,8.53
1771,789.8,1600.7,100,1619,6.1
1772,790.8,1601.7,101,1620,5.9
1773,791.8,1602.7,102,1621,6.66
1774,792.8,1603.7,103,1622,7.94
1775,793.8,1604.7,104,1623,9.44
1776,794.8,1605.7,105,1624,5.96
1777,795.8,1606.7,106,1625,9.43
1778,796.8,1607.7,107,1626,8.49
1779,797.8,1608.7,108,1627,7.68
1780,798.8,1609.7,109,1628,6.2
1781,799.8,1610.7,110,1629,5.67
1782,800.8,1611.7,111,1630,7.68
1783,801.8,1612.7,112,1631,7.41
1784,802.8,1613.7,113,1632,8.94
1785,803.8,1614.7,114,1633,7.74
1786,804.8,1615.7,115,1634,9.49
1787,805.8,1616.7,116,1635,9.38
1788,806.8,1617.7,117,1636,8.13
1789,807.8,1618.7,118,1637,6.94
1790,808.8,1619.7,119,1638,9.49
1791,809.8,1620.7,120,1639,6.18
1792,810.8,1621.7,26,1640,5.13
1793,811.8,1622.7,27,1641,9.59
1794,812.8,1623.7,28,1642,7.77
1795,813.8,1624.7,29,1643,5.97
1796,814.8,1625.7,30,1644,5.31
1797,815.8,1626.7,31,1645,5.15
1798,816.8,1627.7,32,1646,8.87
1799,9.8,1628.7,33,1647,8.94
1800,10.8,1629.7,34,1648,5.39
1801,11.8,1630.7,35,1649,5.27
1802,12.8,1631.7,36,1650,9.48
1803,13.8,1632.7,37,1651,8.27
1804,14.8,1633.7,38,1652,8.74
1805,15.8,1634.7,39,1653,6.93
1806,16.8,1635.7,40,1654,9.32
1807,17.8,1636.7,41,1655,7.56
1808,18.8,1637.7,42,1656,8.7
1809,19.8,1638.7,43,1657,5.97
1810,20.8,1639.7,44,1658,6.98
1811,21.8,1640.7,45,1659,5.28
1812,22.8,1641.7,46,1660,7.85
1813,23.8,1642.7,47,1661,6.58
1814,24.8,1643.7,48,1662,6.02
1815,25.8,1644.7,49,1663,8.75
1816,26.8,1645.7,50,1664,7.15
1817,27.8,1646.7,51,1665,7.93
1818,28.8,1647.7,52,1666,5.17
1819,29.8,1648.7,53,1667,6.57
1820,30.8,1649.7,54,1668,5.34
1821,31.8,1650.7,55,1669,5.46
1822,32.8,1651.7,56,1670,8.58
1823,33.8,1652.7,57,1671,9.04
1824,34.8,1653.7,58,1672,6.4
1825,35.8,1654.7,59,1673,7.43
1826,36.8,1655.7,60,1674,7.86
1827,37.8,1656.7,61,1675,8.5
1828,38.8,1657.7,62,1676,8.85
1829,39.8,1658.7,63,1677,9.7
1830,40.8,1659.7,64,1678,6.21
1831,41.8,1660.7,65,1679,9.18
1832,42.8,1661.7,66,1680,5.77
1833,43.8,1662.7,67,1681,8.12
1834,44.8,1663.7,68,1682,9.22
1835,45.8,1664.7,69,1683,6.42
1836,46.8,1665.7,70,1684,5.4
1837,47.8,1666.7,71,1685,9.71
1838,48.8,1667.7,72,1686,9.23
1839,49.8,1668.7,73,1687,9.28
1840,50.8,1669.7,74,1688,5.99
1841,51.8,1670.7,75,1689,9.54
1842,52.8,1671.7,76,1690,8.94
1843,53.8,1672.7,77,1691,9.63
1844,54.8,1673.7,78,1692,6.01
1845,55.8,1674.7,79,1693,8.03
1846,56.8,1675.7,80,1694,7.01
1847,57.8,1676.7,81,1695,9.5
1848,58.8,1677.7,82,1696,6.56
1849,59.8,1678.7,83,1697,7.48
1850,60.8,1679.7,84,1698,9
1851,61.8,1680.7,85,1699,7.04
1852,62.8,1681.7,86,1700,9.53
1853,63.8,1682.7,87,1701,5.6
1854,64.8,1683.7,88,1702,8.39
1855,65.8,1684.7,89,1703,6.43
1856,66.8,1685.7,90,1704,7.44
1857,67.8,1686.7,91,1705,8.86
1858,68.8,1687.7,92,1706,7.54
1859,69.8,1688.7,93,1707,6.87
1860,70.8,1689.7,94,1708,9.29
1861,71.8,1690.7,95,1709,6.35
1862,72.8,1691.7,96,1710,6.61
1863,73.8,1692.7,97,1711,6.41
1864,74.8,1693.7,98,1712,7.78
1865,75.8,1694.7,99,1713,9.56
1866,76.8,1695.7,100,1714,5.72
1867,77.8,1696.7,101,1715,6.32
1868,78.8,1697.7,102,1716,5.75
1869,79.8,1698.7,103,1717,8.03
1870,80.8,1699.7,104,1718,6.36
1871,81.8,1700.7,105,1719,6.42
1872,82.8,1701.7,106,1720,9.09
1873,83.8,1702.7,107,1721,7.63
1874,84.8,1703.7,108,1722,6.1
1875,85.8,1704.7,109,1723,6.9
1876,86.8,1705.7,110,1724,5.67
1877,87.8,1706.7,111,1725,6.54
1878,88.8,1707.7,112,1726,7.67
1879,89.8,1708.7,113,1727,8.97
1880,90.8,1709.7,114,1728,6.44
1881,91.8,1710.7,115,1729,8.91
1882,92.8,1711.7,116,1730,5.87
1883,93.8,1712.7,117,1731,8.22
1884,94.8,1713.7,118,1732,7.93
1885,95.8,1714.7,119,1733,6.83
1886,96.8,1715.7,120,1734,7.03
1887,97.8,1716.7,26,1735,5.3
1888,98.8,1717.7,27,1736,6.02
1889,99.8,1718.7,28,1737,8.69
1890,100.8,1719.7,29,1738,8.94
1891,101.8,1720.7,30,1739,5.51
1892,102.8,1721.7,31,1740,8.19
1893,103.8,1722.7,32,1741,7.48
1894,104.8,1723.7,33,1742,7.65
1895,105.8,1724.7,34,1743,9.37
1896,106.8,1725.7,35,1744,7.44
1897,107.8,1726.7,36,1745,7.7
1898,108.8,1727.7,37,1746,8.11
1899,109.8,1728.7,38,1747,5.62
1900,110.8,1729.7,39,1748,7.71
1901,111.8,1730.7,40,1749,7.6
1902,112.8,1731.7,41,1750,6.54
1903,113.8,1732.7,42,1751,5.31
1904,114.8,1733.7,43,1752,6.57
1905,115.8,1734.7,44,1753,5.1
1906,116.8,1735.7,45,1754,6.15
1907,117.8,1736.7,46,1755,8.92
1908,118.8,1737.7,47,1756,7.67
1909,119.8,1738.7,48,1757,9.69
1910,120.8,1739.7,49,1758,6
1911,121.8,1740.7,50,1759,7.6
1912,122.8,1741.7,51,1760,8.53
1913,123.8,1742.7,52,1761,5.28
1914,124.8,1743.7,53,1762,9.88
1915,125.8,1744.7,54,1763,5.36
1916,126.8,1745.7,55,1764,8.24
1917,127.8,1746.7,56,1765,7.42
1918,128.8,1747.7,57,1766,8.37
1919,129.8,1748.7,58,1767,7.33
1920,130.8,1749.7,59,1768,6.32
1921,131.8,1750.7,60,1769,8.46
1922,132.8,1751.7,61,1770,7.76
1923,133.8,1752.7,62,1771,7.03
1924,134.8,1753.7,63,1772,9.02
1925,135.8,1754.7,64,1773,5.71
1926,136.8,1755.7,65,1774,9.25
1927,137.8,1756.7,66,1775,7.22
1928,138.8,1757.7,67,1776,5.99
1929,139.8,1758.7,68,1777,9.45
1930,140.8,1759.7,69,1778,6.33
1931,141.8,1760.7,70,1779,6.04
1932,142.8,1761.7,71,1780,7.31
1933,143.8,1762.7,72,1781,6.32
1934,144.8,1763.7,73,1782,8.96
1935,145.8,1764.7,74,1783,6.35
1936,146.8,1765.7,75,1784,9.83
1937,147.8,1766.7,76,1785,6.21
1938,148.8,1767.7,77,1786,7.57
1939,149.8,1768.7,78,1787,6.58
1940,150.8,1769.7,79,1788,7.53
1941,151.8,1770.7,80,1789,5.33
1942,152.8,1771.7,81,1790,5.19
1943,153.8,1772.7,82,1791,7.01
1944,154.8,1773.7,83,1792,5.98
1945,155.8,1774.7,84,1793,6.74
1946,156.8,1775.7,85,1794,6.56
1947,157.8,1776.7,86,1795,7.79
1948,158.8,1777.7,87,1796,7.08
1949,159.8,1778.7,88,1797,6.46
1950,160.8,1779.7,89,1798,9.6
1951,161.8,1780.7,90,1799,5.99
1952,162.8,1781.7,91,1800,6.25
1953,163.8,1782.7,92,1801,5.42
1954,164.8,1783.7,93,1802,7.9
1955,165.8,1784.7,94,1803,8.69
1956,166.8,1785.7,95,1804,5.65
1957,167.8,1786.7,96,1805,9.87
1958,168.8,1787.7,97,1806,5.52
1959,169.8,1788.7,98,1807,7.84
1960,170.8,1789.7,99,1808,8.37
1961,171.8,1790.7,100,1809,9.52
1962,172.8,1791.7,101,1810,9
1963,173.8,1792.7,102,1811,9.6
1964,174.8,1793.7,103,1812,6.36
1965,175.8,1794.7,104,1813,6.47
1966,176.8,1795.7,105,1814,8.07
1967,177.8,1796.7,106,1815,9.46
1968,178.8,1797.7,107,1816,7.88
1969,179.8,1798.7,108,1817,5.83
1970,180.8,1799.7,109,1818,6.57
1971,181.8,1800.7,110,1819,7.41
1972,182.8,1801.7,111,1820,5.38
1973,183.8,1802.7,112,1821,7.69
1974,184.8,1803.7,113,1822,8.66
1975,185.8,1804.7,114,1823,6.46
1976,186.8,1805.7,115,1824,9.9
1977,187.8,1806.7,116,1825,9.72
1978,188.8,1807.7,117,1826,8.83
1979,189.8,1808.7,118,1827,6.69
1980,190.8,1809.7,119,1828,9.4
1981,191.8,1810.7,120,1829,5.3
1982,192.8,1811.7,26,1830,8.64
1983,193.8,1812.7,27,1831,7.28
1984,194.8,1813.7,28,1832,9.32
1985,195.8,1814.7,29,1833,6.34
1986,196.8,1815.7,30,1834,8.3
1987,197.8,1816.7,31,1835,6.95
1988,198.8,1817.7,32,1836,7.63
1989,199.8,1818.7,33,1837,6.2
1990,200.8,1819.7,34,1838,9.56
1991,201.8,1820.7,35,1839,7.68
1992,202.8,1821.7,36,1840,7.83
1993,203.8,1822.7,37,1841,5.22
1994,204.8,1823.7,38,1842,8.16
1995,205.8,1824.7,39,1843,9.35
1996,206.8,1825.7,40,1844,5.23
1997,207.8,1826.7,41,1845,6.53
1998,208.8,1827.7,42,1846,7.83
1999,209.8,1828.7,43,1847,5.18
2000,210.8,1829.7,44,1848,5.49
2001,211.8,1830.7,45,1849,9.75
2002,212.8,1831.7,46,1850,5.11
2003,213.8,1832.7,47,1851,8.7
2004,214.8,1833.7,48,1852,8.47
2005,215.8,1834.7,49,1853,6.65
2006,216.8,1835.7,50,1854,5.39
2007,217.8,1836.7,51,1855,5.48
2008,218.8,1837.7,52,1856,8.79
2009,219.8,1838.7,53,1857,7.35
2010,220.8,1839.7,54,1858,8.02
2011,221.8,1840.7,55,1859,8.33
2012,222.8,1841.7,56,1860,7.24
2013,223.8,1842.7,57,1861,7.36
2014,224.8,1843.7,58,1862,9.78
2015,225.8,1844.7,59,1863,7.69
2016,226.8,1845.7,60,1864,6.18
2017,227.8,1846.7,61,1865,8.44
2018,228.8,1847.7,62,1866,8.03
2019,229.8,1848.7,63,1867,5.39
2020,230.8,1849.7,64,1868,6.54
2021,231.8,1850.7,65,1869,7.47
2022,232.8,1851.7,66,1870,7.6
2023,233.8,1852.7,67,1871,9.35
2024,234.8,1853.7,68,1872,9.49
2025,235.8,1854.7,69,1873,5.48
2026,236.8,1855.7,70,1874,9.73
2027,237.8,1856.7,71,1875,7.92
2028,238.8,1857.7,72,1876,9.48
2029,239.8,1858.7,73,1877,5.29
2030,240.8,1859.7,74,1878,7.58
2031,241.8,1860.7,75,1879,9.19
2032,242.8,1861.7,76,1880,9.57
2033,243.8,1862.7,77,1881,6.62
2034,244.8,1863.7,78,1882,7
2035,245.8,1864.7,79,1883,7.08
2036,246.8,1865.7,80,1884,8.52
2037,247.8,1866.7,81,1885,6.27
2038,248.8,1867.7,82,1886,7.6
2039,249.8,1868.7,83,1887,8.19
2040,250.8,1869.7,84,1888,5.51
2041,251.8,1870.7,85,1889,5.47
2042,252.8,1871.7,86,1890,9.53
2043,253.8,1872.7,87,1891,9.25
2044,254.8,1873.7,88,1892,9.75
2045,255.8,1874.7,89,1893,9.32
2046,256.8,1875.7,90,1894,8.05
2047,257.8,1876.7,91,1895,9.17
2048,258.8,1877.7,92,1896,6.26
2049,259.8,1878.7,93,1897,8.63
2050,260.8,1879.7,94,1898,7.35
2051,261.8,1880.7,95,1899,7.2
2052,262.8,1881.7,96,1900,6.48
2053,263.8,1882.7,97,1901,6.74
2054,264.8,1883.7,98,1902,5.13
2055,265.8,1884.7,99,1903,5.38
2056,266.8,1885.7,100,1904,8.47
2057,267.8,1886.7,101,1905,5.54
2058,268.8,1887.7,102,1906,8.34
2059,269.8,1888.7,103,1907,8.72
2060,270.8,1889.7,104,1908,7.17
2061,271.8,1890.7,105,1909,9.44
2062,272.8,1891.7,106,1910,7.14
2063,273.8,1892.7,107,1911,8.59
2064,274.8,1893.7,108,1912,9.16
2065,275.8,1894.7,109,1913,7.69
2066,276.8,1895.7,110,1914,8.19
2067,277.8,1896.7,111,1915,9.79
2068,278.8,1897.7,112,1916,8.61
2069,279.8,1898.7,113,1917,7.53
2070,280.8,1899.7,114,1918,7.74
2071,281.8,1900.7,115,1919,8.98
2072,282.8,1901.7,116,1920,7.85
2073,283.8,1902.7,117,1921,6.55
2074,284.8,1903.7,118,1922,8.47
2075,285.8,1904.7,119,1923,5.44
2076,286.8,1905.7,120,1924,8.04
2077,287.8,1906.7,26,1925,7
2078,288.8,1907.7,27,1926,8.75
2079,289.8,1908.7,28,1927,5.74
2080,290.8,1909.7,29,1928,6.89
2081,291.8,1910.7,30,1929,7.62
2082,292.8,1911.7,31,1930,6.46
2083,293.8,1912.7,32,1931,6.19
2084,294.8,1913.7,33,1932,7.07
2085,295.8,1914.7,34,1933,7.19
2086,296.8,1915.7,35,1934,6.53
2087,297.8,1916.7,36,1935,7.12
2088,298.8,1917.7,37,1936,7.67
2089,299.8,1918.7,38,1937,7.52
2090,300.8,1919.7,39,1938,8.57
2091,301.8,1920.7,40,1939,7.86
2092,302.8,1921.7,41,1940,9.29
2093,303.8,1922.7,42,1941,9.6
2094,304.8,1923.7,43,1942,9.29
2095,305.8,1924.7,44,1943,5.93
2096,306.8,1925.7,45,1944,7.41
2097,307.8,1926.7,46,1945,5.97
2098,308.8,1927.7,47,1946,7.59
2099,309.8,1928.7,48,1947,7.47
2100,310.8,1929.7,49,1948,8.67
2101,311.8,1930.7,50,1949,7.7
2102,312.8,1931.7,51,1950,6.23
2103,313.8,1932.7,52,1951,7.75
2104,314.8,1933.7,53,1952,6.67
2105,315.8,1934.7,54,1953,9.08
2106,316.8,1935.7,55,1954,9.46
2107,317.8,1936.7,56,1955,6.81
2108,318.8,1937.7,57,1956,6
2109,319.8,1938.7,58,1957,7.96
2110,320.8,1939.7,59,1958,8.41
2111,321.8,1940.7,60,1959,5.49
2112,322.8,1941.7,61,1960,5.82
2113,323.8,1942.7,62,1961,5.41
2114,324.8,1943.7,63,1962,6.64
2115,325.8,1944.7,64,1963,9.37
2116,326.8,1945.7,65,1964,8.28
2117,327.8,1946.7,66,1965,6.93
2118,328.8,1947.7,67,1966,5.71
2119,329.8,1948.7,68,1967,6.34
2120,330.8,1949.7,69,1968,8.28
2121,331.8,1950.7,70,1969,8.46
2122,332.8,1951.7,71,1970,5.52
2123,333.8,1952.7,72,1971,8.51
2124,334.8,1953.7,73,1972,9.06
2125,335.8,1954.7,74,1973,6.52
2126,336.8,1955.7,75,1974,5.19
2127,337.8,1956.7,76,1975,9.83
2128,338.8,1957.7,77,1976,7.22
2129,339.8,1958.7,78,1977,7.32
2130,340.8,1959.7,79,1978,5.79
2131,341.8,1960.7,80,1979,7.02
2132,342.8,1961.7,81,1980,9.55
2133,343.8,1962.7,82,1981,8.13
2134,344.8,1963.7,83,1982,9.64
2135,345.8,1964.7,84,1983,5.11
2136,346.8,1965.7,85,1984,7.19
2137,347.8,1966.7,86,1985,8.83
2138,348.8,1967.7,87,1986,8.87
2139,349.8,1968.7,88,1987,7.53
2140,350.8,1969.7,89,1988,8.77
2141,351.8,1970.7,90,1989,7.61
2142,352.8,1971.7,91,1990,8.5
2143,353.8,1972.7,92,1991,8.87
2144,354.8,1973.7,93,1992,6.52
